EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11X0-0000-0689-V;ENERGIESERVICEPL;EnergieServicePlus GmbH;;;Active;;;DE302028719;Balance Responsible Party;X
11X0-0000-0690-H;DYNP;Dynasty Power Inc.;;;Active;;;SI93734239;Balance Responsible Party;X
11X0-0000-0693-8;PEAKPOWER;Peak Power UG (haftungsbeschränkt);;;Active;;;DE353121739;Balancing Service Provider;X
11X0-0000-0695-2;FLXPWR;CFP FlexPower GmbH;;;Active;;;DE354447852;Balance Responsible Party;X
11X0-0000-0697-X;PRIMAHOLDING;primaholding GmbH;;;Active;;;DE260137838;Balance Responsible Party;X
11X0-0000-0701-8;AMESSAI_ENERGY;Amessai Energy Research Limited;;;Active;;;4743327477;Balance Responsible Party;X
11X0-0000-0702-5;BETG;Beaufort Energy Trading Germany LP;;;Active;;;6905210;Capacity Trader;X
11X0-0000-0706-U;IQONY_MAIN;Iqony GmbH;;;Active;;;DE309397839;Balance Responsible Party;X
11X0-0000-0727-J;SUSTAIN_EXERGY;SE SUSTAINABLE EXERGY GmbH;;;Active;;;DE276927058;Balance Responsible Party;X
11X0-0000-0733-R;VW_ELLI;Volkswagen Group Charging GmbH;;;Active;;;DE319539746;Balance Responsible Party;X
11X0-0000-0734-O;NECK-E;Neckermann Strom GmbH;;;Active;;;DE358784732;Balance Responsible Party;X
11X0-0000-0735-L;DEW;Deutsche Edelstahlwerke Specialty Steel GmbH & Co. KG;;;Active;;;DE308764143;Consumer;X
11X0-0000-0738-C;PLAN-B;PLAN-B NET ZERO ENERGY GmbH;;;Active;;;DE293086561;Balance Responsible Party;X
11X0-0000-0740-W;SUENA;Suena GmbH;;;Active;;;DE346713861;Balance Responsible Party;X
11X0-0000-0742-Q;BADENOVA_E;badenova Energie GmbH;;;Active;;;DE358006595;Balance Responsible Party;X
11X0-0000-0744-K;US-GREY-EPOCH;Grey Epoch LLC;;;Active;;;US461747142;Capacity Trader;X
11X0-0000-0745-H;DESPLASMA;D. E. Shaw Plasma Portfolios, L.L.C.;;;Active;;;371445760;Capacity Trader;X
11X0-0000-0752-M;TRAWA;Future Energy Services GmbH;;;Active;;;DE357946486;Balance Responsible Party;X
11X0-0000-0753-J;FZJ;Forschungszentrum Jülich GmbH;;;Active;;;DE122624631;Balance Responsible Party;X
11X0-0000-0789-Q;YOKK;Yokk STROMIX GmbH;;;Active;;;DE273554237;Balance Responsible Party;X
11X-1UND1------Y;1UND1;1&1 Energy GmbH;;;Active;;;DE304439118;Balance Responsible Party;X
11X221688521---L;WINDSTROM;WindStrom Service GmbH & Co. KG;;;Active;;;DE227159805;Balance Responsible Party;X
11X24SIEBENEPM-0;24SIEBEN-EPM;Stadtwerke Kiel Aktiengesellschaft;;;Active;;;DE811195284;Trade Responsible Party;X
11X24SIEBEN----Q;24SIEBEN;Stadtwerke Kiel Aktiengesellschaft;;;Active;;;DE811195284;Balance Responsible Party;X
11X809576312---3;ATW-KAPITAL;ATW Kapital GmbH;;;Active;;;DE306140591;Balance Responsible Party;X
11XACCORD------L;ACCORD;Centrica Energy Limited;;;Active;;;GB684966762;Balance Responsible Party;X
11XAGDERENERGI-C;AGDER-ENERGI;Å ENERGI VANNKRAFT AS;;;Active;;;NO882973972;Balance Responsible Party;X
11XAGGERE------L;AGGERENERGIE;AggerEnergie GmbH;;;Active;;;DE122537798;Balance Responsible Party;X
11XAIRLIQUIDE--X;AIR-LIQUIDE;AIR LIQUIDE Deutschland GmbH;;;Active;;;DE121289819;Balance Responsible Party;X
11XALBWERK-V---N;NETZ-GRUPPE;Albwerk GmbH & Co. KG;;;Active;;;DE200387148;Balance Responsible Party;X
11XALMADOENERGYG;ALMADO;365 AG;;;Active;;;DE212755674;Balance Responsible Party;X
11XAMEH-ENERGIEA;AMEH;ArcelorMittal Eisenhüttenstadt GmbH;;;Active;;;DE138993509;Balance Responsible Party;X
11X-AREAL-M----0;AREAL-M;Areal M GmbH;;;Active;;;DE305826113;Balance Responsible Party;X
11XASW---------1;ASW;Albstadtwerke GmbH;;;Active;;;DE211518478;Balance Responsible Party;X
11XAUEW--------U;AUEW;Allgäuer Überlandwerk GmbH;;;Active;;;DE128785492;Balance Responsible Party;X
11XAUS-ENBW-NGOT;ENBW-NGO-AUSG;Netze ODR GmbH;;;Active;;;DE814759930;Balance Responsible Party;X
11XAUS-ENBW-REGZ;ENBW-REG-AUS;Netze BW GmbH;;;Active;;;DE200335418;Balance Responsible Party;X
11X-AUSGL-EWS--L;EWS-AUSGLEICH;Elektrizitätswerk Wennenmühle Schörger GmbH & Co. KG;;;Active;;;DE233421932;Balance Responsible Party;X
11XAVU---------O;AVUAG;AVU Aktiengesellschaft für Versorgungs-Unternehmen;;;Active;;;DE126455799;Balance Responsible Party;X
11XAXPODE-TC---H;AXPODE_TC;Axpo Deutschland GmbH;;;Active;;;DE142394844;Balance Responsible Party;X
11XAXPONE-PROD-U;AXPONE_PROD;Axpo New Energy GmbH;;;Active;;;DE273332013;Balance Responsible Party;X
11XB2B-ENERGY--2;MEISTRO-STROM;meistro Energie GmbH;;;Active;;;DE251574174;Balance Responsible Party;X
11XBADENOVA-H--3;BADENOVA_H;badenova AG & Co. KG;;;Active;;;DE217007906;Balance Responsible Party;X
11XBASF-AG-----T;BASFAG;BASF SE;;;Active;;;DE149145247;Balance Responsible Party;X
11XBASF-BSW-SH-D;BSW;BASF Schwarzheide GmbH;;;Active;;;DE811122744;Balance Responsible Party;X
11XBAYER-BTSEMP4;BAYER;Currenta GmbH & Co. OHG;;;Active;;;DE813443002;Balance Responsible Party;X
11XBAYWAOEKOSTR8;SUNSHINESOUL;BayWa Ökoenergie GmbH;;;Active;;;DE282823741;Balance Responsible Party;X
11XBBF-BFG-TXL-5;BFG_TXL;Berliner Flughafen-Gesellschaft mit beschränkter Haftung;;;Active;;;DE138543600;Balance Responsible Party;X
11XBEDEUTSCH---S;BERGENENERGI-DE;Kinect Energy Germany GmbH;;;Active;;;DE211206773;Balance Responsible Party;X
11XBELKAW-GMBH-E;BELKAW-GMBH;BELKAW GmbH;;;Active;;;DE121975090;Balance Responsible Party;X
11XBEWVERTRIEB1E;BEWVERTRIEB;BEW Bergische Energie- und Wasser-GmbH;;;Active;;;DE123238619;Balance Responsible Party;X
11XBLB-NRW-----2;BLB-NRW;Land Nordrhein-Westfalen vertreten durch Bau- und Liegenschaftsbetrieb;;;Active;;;DE216120450;Balance Responsible Party;X
